SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,year,AlerteID,Nb_localites_affectes,month,Pop_affectee_menages,Pop_affectee_individus,Date_rapport_CoPil,Nature_Choc_Violence,Nature_Choc_Catastrophe_naturelle,Nature_Choc_Autre,Type_pop_Deplaces,Type_pop_Communaute_hote,Type_pop_Retours,Type_pop_Repatries,Type_pop_Autre,Statut_MEX_Complete,Statut_MEX_Prevu,Statut_MEX_En_cours,Statut_MEX_En_attente,Statut_MEX_Annule,Delais_INT_Disponibilité_resources,Delais_INT_Coordination_humanitaire,Delais_INT_Defaillance_BD,Delais_INT_Intervention_multiple,Delais_INT_Autre,Delais_INT_NA,Delais_EXT_Necessite_reevaluer,Delais_EXT_Acces_logistique,Delais_EXT_Suspension_logistique,Delais_EXT_Acceptance_parties_prenantes,Delais_EXT_EquipeRRM_cible_pendant_MEX,Delais_EXT_Acces_securitaire,Delais_EXT_Suspension_securitaire,Delais_EXT_NA,Delais_EXT_Autre,Annulation_Conversion_MSA,Annulation_NA,Annulation_Autre,Statut_rapport_MEX_En_cours,Statut_rapport_MEX_Envoye_CoPil,Proposition_Action_MSAcomplete,Proposition_Action_Eval_sectorielle,Proposition_Action_Monitoring_protection,Proposition_Action_Rehabilitation_acces_log,Proposition_Action_Plaidoyer_acces_securitaire,Proposition_Action_Suivi_retour_deplaces,Proposition_Action_Intervention_directe,Proposition_Action_Pas_daction,Proposition_Action_Autre,CodePrefecture,Prefecture,CodeSousPrefecture,SousPrefecture,CodeCommune,Commune,CodeArrondissement,Arrondissement,Longitude,Latitude
379899427,20.03.2015,02.03.2015,02.03.2015,SI,Kaga-Bandoro,2015,SI_BOT_20150127,15,,1513,,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,,19.185733,6.992369
1095584746,03.03.2015,27.02.2015,27.02.2015,ACF,Besson,2015,ACF_BES_20150221,,,85,381,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,Nana-Mambere,,Baboua,,Goudrot,,,14.816071,6.258945
1370610428,03.03.2015,25.02.2015,25.02.2015,PU-AMI,Dilapoko,2015,PU_DIL_20150213,1,,35,200,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,,Mambere-Kadei,,Gamboula,,Basse-Boumne,,,15.091660,4.363720
1583905516,03.03.2015,25.02.2015,25.02.2015,PU-AMI,Ore,2015,PU_ORE_20150213,1,,50,250,,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,,Mambere-Kadei,,Gamboula,,Basse-Boumne,,,15.082169,4.364897
2047096397,03.03.2015,25.02.2015,25.02.2015,ACTED,Mobaye - gp Mangbango,2015,ACTED_MOB_20150217,,,558,4469,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,,Basse-Kotto,,Mobaye,,Mobaye,,,21.176833,4.319708
860958585,24.03.2015,23.02.2015,23.02.2015,ACF,Gbakara,2015,ACF_GBA_20150223,,,13,65,,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Ouham,,Bossangoa,,Soumbe,,,17.641028,6.436505
1841466723,03.03.2015,21.02.2015,21.02.2015,ACF,Yongoro Mbolaye,2015,ACF_YON_20150221,,,1151,5753,,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Nana-Mambere,,Bouar,,Herman-Brousse,,,15.586952,6.235382
684439432,03.03.2015,20.02.2015,20.02.2015,ACF,Bofire,2015,ACF_GBB_20150220,3,,243,1215,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Ouham,,Bossangoa,,Ben Zambe,,,17.766026,6.718610
1623940407,03.03.2015,13.02.2015,13.02.2015,ACTED,Dimbi,2015,ACTED_DIM_20150112,,,,18000,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,,Basse-Kotto,,Kembe,,Kembe,,,21.720280,4.624735
1733287360,03.03.2015,10.02.2015,10.02.2015,ACTED,Ouazzoua,2015,ACTED_OUA_20150112,,,,226,,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Mbomou,,Ouango,,,,,22.418461,4.270408
1082666841,03.03.2015,04.02.2015,04.02.2015,ACF,Sabewa,2015,ACF_SAB_20150204,,,100,500,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Nana-Mambere,,Bouar,,Niem-Yelewa,,,14.982606,6.668017
994354173,23.03.2015,28.01.2015,28.01.2015,ACF,Bombere-Kota,2015,ACF_BOM_20150128,,,76,399,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,,Ouham,,Bossangoa,,Ben Zambe,,,17.548962,6.914322
273257344,01.04.2015,24.01.2015,24.01.2015,ACF,Kouki,2015,ACF_KOU_20150124,1,,1400,7000,,Oui,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.309082,7.166343
2133245194,24.03.2015,23.01.2015,23.01.2015,ACF,Boyongo-Kette,2015,ACF_BOY_20150123,,,26,130,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,Ouham,,Bossangoa,,Ndoro Mboli,,,17.362290,6.526361
378565152,09.07.2015,01.11.2014,04.11.2014,PU-AMI,Nola,2014,PU_NOL,3,,22700,113396,,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,,Sangha-Mbaere,,Nola,,Nola,,,16.044940,3.524026
